ForceDecks Raw Data Export,2.0
Weight,82
Frequency,1000
Recording Date,2024-11-07T09:08:41
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:08:46
AthleteId,cb0d8c1d-45c2-402a-bd10-377de390be66

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
"0,035","0,758941",0,0,"0,354196",0,0,,"2,205293","-2,379828","3,145088","-2,211612","0,056748","-0,661183","0,800072","0,15856"
"0,036","-0,491059",0,0,"-0,145804",0,0,,"2,205293","-2,629828","1,645088","-1,711612","0,806748","-0,411183","0,050072","-0,59144"
"0,037","-0,491059",0,0,"-1,395804",0,0,,"2,455293","-2,629828","2,145088","-2,461612","-0,443252","-0,411183","0,300072","-0,84144"
"0,038","1,008941",0,0,"-0,895804",0,0,,"3,205293","-3,129828","2,145088","-1,211612","1,056748","-0,661183","0,300072","-1,59144"
"0,039","1,008941",0,0,"0,604196",0,0,,"2,205293","-1,379828","2,145088","-1,961612","0,056748","0,088817","0,800072","-0,34144"
"0,04","-1,741059",0,0,"1,354196",0,0,,"1,955293","-2,379828","1,395088","-2,711612","0,306748","-0,161183","1,300072","-0,09144"
"0,041","-0,741059",0,0,"-0,895804",0,0,,"2,205293","-2,129828","1,645088","-2,461612","0,556748","-0,911183","-0,449928","-0,09144"
"0,042","-0,241059",0,0,"-0,895804",0,0,,"2,455293","-3,129828","2,645088","-2,211612","-0,193252","0,338817","-0,199928","-0,84144"
"0,043","1,258941",0,0,"0,104196",0,0,,"3,205293","-1,879828","2,145088","-2,211612","0,056748","-0,411183","0,550072","-0,09144"
"0,044","0,508941",0,0,"1,354196",0,0,,"2,205293","-1,379828","2,395088","-2,711612","0,806748","0,588817","0,300072","-0,34144"
"0,045","0,508941",0,0,"2,354196",0,0,,"3,455293","-2,879828","2,145088","-2,211612","0,306748","0,338817","1,550072","0,15856"
"0,046","1,258941",0,0,"0,104196",0,0,,"3,205293","-1,879828","2,145088","-2,211612","0,806748","-0,411183","0,550072","-0,84144"
