ForceDecks Raw Data Export,2.0
Weight,"81,9"
Frequency,1000
Recording Date,2024-11-07T09:06:48
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T09:06:58
AthleteId,cb0d8c1d-45c2-402a-bd10-377de390be66

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
"0,04","-0,491059",0,0,"0,354196",0,0,,"0,455293","-0,629828","0,895088","-1,211612","-2,443252","1,838817","-1,449928","2,40856"
"0,041","-0,491059",0,0,"-2,145804",0,0,,"0,955293","-1,129828","1,145088","-1,461612","-2,443252","1,588817","-2,699928","1,40856"
"0,042","0,008941",0,0,"0,354196",0,0,,"0,955293","-0,379828","0,145088","-0,711612","-1,693252","1,588817","-1,199928","1,65856"
"0,043","-1,241059",0,0,"-0,895804",0,0,,"0,705293","-1,879828","0,145088","-0,211612","-2,193252","1,588817","-2,449928","2,15856"
"0,044","-0,991059",0,0,"1,104196",0,0,,"0,705293","-0,879828","0,395088","-1,211612","-1,193252","1,838817","-1,949928","2,40856"
"0,045","0,508941",0,0,"1,104196",0,0,,"0,455293","-0,379828","0,645088","-0,211612","-1,193252","1,838817","-1,449928","1,90856"
"0,046","-0,491059",0,0,"-1,645804",0,0,,"0,705293","-1,379828","-0,104912","0,288388","-2,443252","1,088817","-1,699928","1,40856"
"0,047","-0,741059",0,0,"-0,895804",0,0,,"0,955293","-1,129828","0,645088","-1,211612","-1,693252","2,088817","-2,699928","1,40856"
"0,048","-0,241059",0,0,"0,854196",0,0,,"0,955293","-1,129828","0,895088","-0,961612","-1,193252","2,338817","-1,949928","1,65856"
"0,049","-0,741059",0,0,"0,604196",0,0,,"0,455293","-1,379828","1,645088","-1,461612","-2,693252","3,088817","-1,949928","2,15856"
"0,05","-1,241059",0,0,"-1,145804",0,0,,"0,955293","-1,879828","0,645088","-0,961612","-2,193252","2,088817","-2,449928","1,40856"
"0,051","1,008941",0,0,"0,854196",0,0,,"0,955293","-1,129828","1,395088","-0,211612","-1,193252","2,338817","-2,449928","2,15856"
"0,052","1,258941",0,0,"-0,645804",0,0,,"1,455293","-0,879828","1,395088","-0,711612","-2,443252","0,838817","-1,199928","2,15856"
"0,053","-0,491059",0,0,"0,604196",0,0,,"0,455293","-0,879828","0,645088","-0,711612","-1,943252","1,588817","-1,199928","2,15856"
"0,054","0,508941",0,0,"1,104196",0,0,,"1,205293","-1,129828","0,895088","-0,461612","-2,443252","2,338817","-1,449928","2,65856"
"0,055","1,508941",0,0,"-0,645804",0,0,,"1,705293","-0,629828","0,895088","-0,461612","-1,943252","1,338817","-1,699928","1,65856"
"0,056","-0,491059",0,0,"0,604196",0,0,,"1,455293","-1,129828","0,395088","-1,211612","-2,193252","1,588817","-1,199928","2,40856"
"0,057","1,008941",0,0,"-0,645804",0,0,,"0,955293","-0,379828","1,145088","-0,711612","-1,193252","0,588817","-1,699928","1,65856"
"0,058","2,008941",0,0,"1,104196",0,0,,"1,455293","-0,379828","0,895088","0,038388","-2,193252","3,088817","-2,449928","2,65856"
"0,059","1,508941",0,0,"0,854196",0,0,,"1,205293","0,120172","0,895088","-0,711612","-1,443252","2,338817","-2,199928","2,15856"
"0,06","-0,491059",0,0,"-0,395804",0,0,,"0,205293","-0,629828","0,895088","-0,961612","-2,193252","1,088817","-1,699928","2,40856"
"0,061","2,008941",0,0,"0,104196",0,0,,"1,455293","0,120172","1,395088","-0,961612","-1,193252","1,838817","-2,449928","1,90856"
"0,062","-0,241059",0,0,"0,854196",0,0,,"1,205293","-0,379828","0,395088","-1,461612","-1,943252","2,088817","-1,449928","2,15856"
"0,063","-0,491059",0,0,"-0,145804",0,0,,"0,955293","-0,379828","0,645088","-1,711612","-2,193252","1,588817","-1,699928","2,15856"
