ForceDecks Raw Data Export,2.0
Weight,"73,8"
Frequency,1000
Recording Date,2024-11-07T12:19:13
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:19:17
AthleteId,41ba8072-563b-40cb-ad8f-6bd1ec855a29

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-0,459872",0,0,"0,742543",0,0,,"-5,234257","4,371567","-3,659209","4,062027","-5,006747","5,194247","-3,945312","4,500355"
"0,001","-0,709872",0,0,"-0,007457",0,0,,"-5,234257","4,371567","-3,909209","4,062027","-5,256747","4,444247","-3,695312","4,500355"
"0,002","-0,459872",0,0,"-0,257457",0,0,,"-5,234257","3,871567","-4,409209","5,312027","-4,506747","4,944247","-4,945312","4,250355"
"0,003","1,040128",0,0,"0,742543",0,0,,"-5,234257","5,121567","-3,409209","4,562027","-4,506747","4,694247","-4,445312","5,000355"
"0,004","1,290128",0,0,"-0,257457",0,0,,"-4,484257","4,371567","-3,159209","4,562027","-4,756747","5,444247","-4,695312","3,750355"
"0,005","-0,209872",0,0,"0,992543",0,0,,"-4,234257","3,871567","-4,409209","4,562027","-4,006747","4,194247","-4,445312","5,250355"
"0,006","1,040128",0,0,"-2,007457",0,0,,"-4,484257","4,371567","-3,409209","4,562027","-5,506747","4,194247","-4,945312","4,250355"
"0,007","0,290128",0,0,"0,242543",0,0,,"-3,734257","4,371567","-3,909209","3,562027","-4,006747","4,194247","-4,445312","4,500355"
"0,008","0,040128",0,0,"0,492543",0,0,,"-4,484257","5,371567","-4,409209","3,562027","-4,756747","4,944247","-3,695312","4,000355"
"0,009","-0,459872",0,0,"0,242543",0,0,,"-4,984257","3,621567","-3,659209","4,562027","-4,756747","4,944247","-4,445312","4,500355"
"0,01","-1,459872",0,0,"-0,007457",0,0,,"-4,484257","3,871567","-4,159209","3,312027","-4,256747","4,944247","-4,695312","4,000355"
"0,011","0,290128",0,0,"0,492543",0,0,,"-4,734257","4,621567","-4,159209","4,562027","-4,756747","5,194247","-4,445312","4,500355"
"0,012","0,040128",0,0,"0,242543",0,0,,"-5,234257","4,871567","-4,159209","4,562027","-4,756747","4,694247","-4,195312","4,500355"
"0,013","-0,959872",0,0,"1,242543",0,0,,"-4,484257","3,121567","-4,159209","4,562027","-4,506747","4,694247","-3,945312","5,000355"
"0,014","-1,209872",0,0,"-0,007457",0,0,,"-5,234257","4,371567","-4,909209","4,562027","-4,256747","4,694247","-4,445312","4,000355"
"0,015","0,290128",0,0,"-0,507457",0,0,,"-3,734257","3,621567","-3,659209","4,062027","-4,756747","4,694247","-4,945312","4,500355"
"0,016","0,540128",0,0,"0,992543",0,0,,"-3,984257","4,871567","-4,659209","4,312027","-4,756747","4,194247","-3,695312","5,250355"
"0,017","-2,459872",0,0,"0,242543",0,0,,"-4,984257","3,871567","-4,659209","3,312027","-4,256747","4,694247","-5,445312","5,250355"
"0,018","-0,709872",0,0,"-0,507457",0,0,,"-4,734257","3,871567","-4,409209","4,562027","-5,256747","5,194247","-4,945312","4,500355"
"0,019","0,040128",0,0,"0,242543",0,0,,"-4,234257","4,871567","-4,159209","3,562027","-4,256747","4,944247","-4,195312","3,750355"
"0,02","0,040128",0,0,"-0,007457",0,0,,"-4,484257","4,371567","-3,409209","3,562027","-4,006747","3,944247","-4,445312","4,500355"
"0,021","-0,459872",0,0,"-2,007457",0,0,,"-4,984257","4,621567","-4,659209","4,562027","-4,506747","3,444247","-4,945312","4,000355"
"0,022","-0,459872",0,0,"-1,257457",0,0,,"-4,484257","4,371567","-3,909209","3,562027","-4,256747","3,444247","-4,695312","4,250355"
"0,023","1,290128",0,0,"-0,257457",0,0,,"-4,484257","5,121567","-3,409209","4,062027","-4,756747","4,944247","-4,945312","4,500355"
"0,024","0,290128",0,0,"0,492543",0,0,,"-3,984257","4,371567","-3,659209","3,562027","-4,256747","4,444247","-4,695312","5,000355"
"0,025","1,040128",0,0,"-1,007457",0,0,,"-3,484257","3,871567","-3,409209","4,062027","-4,756747","4,194247","-5,945312","5,500355"
"0,026","3,040128",0,0,"0,742543",0,0,,"-3,484257","4,871567","-3,159209","4,812027","-3,756747","4,194247","-4,945312","5,250355"
"0,027","0,540128",0,0,"-0,757457",0,0,,"-4,484257","4,371567","-3,159209","3,812027","-5,006747","4,694247","-4,445312","4,000355"
"0,028","-0,459872",0,0,"-1,757457",0,0,,"-4,984257","4,371567","-3,409209","3,562027","-4,756747","4,194247","-5,195312","4,000355"
"0,029","0,040128",0,0,"-0,007457",0,0,,"-4,484257","4,371567","-3,909209","4,062027","-4,006747","4,194247","-3,945312","3,750355"
"0,03","-1,209872",0,0,"0,242543",0,0,,"-4,734257","3,121567","-3,409209","3,812027","-4,256747","3,944247","-4,945312","5,500355"
"0,031","-2,709872",0,0,"1,242543",0,0,,"-4,734257","3,371567","-5,159209","3,812027","-4,256747","4,944247","-4,195312","4,750355"
"0,032","0,540128",0,0,"-1,257457",0,0,,"-4,484257","4,371567","-3,659209","4,312027","-4,756747","4,194247","-4,695312","4,000355"
"0,033","-0,209872",0,0,"-0,507457",0,0,,"-3,734257","4,371567","-4,909209","4,062027","-4,256747","4,194247","-4,945312","4,500355"
"0,034","-0,459872",0,0,"-2,257457",0,0,,"-4,484257","3,621567","-3,659209","4,062027","-5,506747","4,194247","-4,945312","4,000355"
"0,035","-0,709872",0,0,"0,492543",0,0,,"-3,984257","3,871567","-3,909209","3,312027","-4,756747","5,444247","-4,695312","4,500355"
"0,036","0,290128",0,0,"-0,507457",0,0,,"-3,984257","3,371567","-3,409209","4,312027","-6,256747","4,694247","-4,195312","5,250355"
"0,037","-0,459872",0,0,"-0,507457",0,0,,"-5,234257","4,371567","-4,409209","4,812027","-5,006747","4,694247","-4,945312","4,750355"
"0,038","1,790128",0,0,"0,492543",0,0,,"-3,734257","4,871567","-3,909209","4,562027","-4,506747","4,444247","-4,195312","4,750355"
"0,039","0,290128",0,0,"0,492543",0,0,,"-4,484257","3,621567","-3,409209","4,562027","-4,256747","4,694247","-4,945312","5,000355"
"0,04","-1,459872",0,0,"0,242543",0,0,,"-3,984257","2,871567","-3,659209","3,312027","-5,006747","4,944247","-5,195312","5,500355"
"0,041","-1,709872",0,0,"-2,257457",0,0,,"-3,984257","2,621567","-4,159209","3,812027","-5,006747","3,694247","-5,445312","4,500355"
"0,042","0,290128",0,0,"-1,007457",0,0,,"-4,234257","4,121567","-3,659209","4,062027","-5,506747","4,194247","-4,695312","5,000355"
"0,043","-0,959872",0,0,"-0,007457",0,0,,"-3,734257","4,121567","-4,659209","3,312027","-4,506747","4,444247","-4,695312","4,750355"
"0,044","-0,709872",0,0,"0,742543",0,0,,"-3,984257","3,621567","-3,659209","3,312027","-5,506747","5,444247","-4,445312","5,250355"
"0,045","0,540128",0,0,"-0,007457",0,0,,"-3,984257","4,371567","-3,909209","4,062027","-4,256747","5,194247","-5,445312","4,500355"
"0,046","0,790128",0,0,"-0,007457",0,0,,"-3,984257","3,621567","-3,659209","4,812027","-4,506747","4,444247","-4,195312","4,250355"
"0,047","0,790128",0,0,"-0,507457",0,0,,"-3,484257","4,371567","-4,159209","4,062027","-4,256747","4,444247","-5,195312","4,500355"
"0,048","0,790128",0,0,"0,742543",0,0,,"-3,734257","4,121567","-3,909209","4,312027","-4,256747","3,944247","-4,195312","5,250355"
"0,049","-0,209872",0,0,"-0,757457",0,0,,"-3,984257","3,121567","-3,409209","4,062027","-4,756747","4,694247","-5,445312","4,750355"
"0,05","-0,459872",0,0,"1,992543",0,0,,"-4,734257","4,371567","-3,409209","3,312027","-4,256747","5,944247","-4,195312","4,500355"
"0,051","1,290128",0,0,"-1,007457",0,0,,"-3,984257","4,121567","-2,909209","4,062027","-4,756747","4,694247","-4,945312","4,000355"
"0,052","-1,209872",0,0,"0,992543",0,0,,"-4,484257","4,371567","-3,909209","2,812027","-4,756747","5,444247","-4,945312","5,250355"
"0,053","-0,209872",0,0,"-0,757457",0,0,,"-4,734257","3,621567","-2,909209","3,812027","-5,506747","4,444247","-4,945312","5,250355"
"0,054","1,290128",0,0,"0,742543",0,0,,"-3,484257","3,621567","-3,409209","4,562027","-4,256747","4,694247","-4,945312","5,250355"
"0,055","-1,209872",0,0,"-1,757457",0,0,,"-4,234257","3,621567","-3,909209","3,312027","-5,256747","4,194247","-4,695312","4,000355"
"0,056","1,290128",0,0,"1,492543",0,0,,"-3,234257","3,871567","-3,409209","4,062027","-5,006747","6,194247","-4,195312","4,500355"
"0,057","-1,459872",0,0,"-0,507457",0,0,,"-4,484257","2,371567","-2,909209","3,562027","-4,756747","4,694247","-5,445312","5,000355"
"0,058","0,040128",0,0,"1,742543",0,0,,"-3,984257","3,621567","-2,909209","3,312027","-4,506747","5,944247","-4,195312","4,500355"
"0,059","-0,459872",0,0,"-0,507457",0,0,,"-3,984257","3,121567","-3,409209","3,812027","-4,756747","4,444247","-4,695312","4,500355"
