ForceDecks Raw Data Export,2.0
Weight,"73,7"
Frequency,1000
Recording Date,2024-11-07T12:21:23
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T12:21:26
AthleteId,41ba8072-563b-40cb-ad8f-6bd1ec855a29

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"0,790128",0,0,"-0,507457",0,0,,"-4,734257","5,371567","-4,159209","4,312027","-4,006747","3,194247","-2,945312","3,250355"
"0,001","-0,709872",0,0,"-1,257457",0,0,,"-5,234257","3,621567","-3,659209","4,562027","-2,756747","2,944247","-4,695312","3,250355"
"0,002","1,290128",0,0,"0,242543",0,0,,"-3,734257","4,121567","-4,159209","5,062027","-3,006747","3,694247","-3,695312","3,250355"
"0,003","-0,959872",0,0,"2,242543",0,0,,"-4,734257","4,121567","-4,409209","4,062027","-3,256747","3,444247","-1,695312","3,750355"
"0,004","2,040128",0,0,"-1,507457",0,0,,"-3,484257","4,121567","-3,909209","5,312027","-3,756747","2,694247","-4,445312","4,000355"
"0,005","0,290128",0,0,"-1,757457",0,0,,"-3,984257","4,621567","-4,659209","4,312027","-4,006747","3,194247","-3,695312","2,750355"
"0,006","0,040128",0,0,"-0,757457",0,0,,"-3,484257","3,871567","-4,159209","3,812027","-3,506747","3,444247","-3,445312","2,750355"
"0,007","-1,209872",0,0,"-0,757457",0,0,,"-4,734257","3,621567","-4,409209","4,312027","-3,756747","2,694247","-3,695312","4,000355"
"0,008","-1,209872",0,0,"-0,507457",0,0,,"-4,734257","5,121567","-4,659209","3,062027","-3,756747","2,944247","-3,195312","3,500355"
"0,009","-0,959872",0,0,"-0,507457",0,0,,"-4,984257","4,371567","-4,409209","4,062027","-4,006747","3,694247","-4,445312","4,250355"
"0,01","0,790128",0,0,"0,242543",0,0,,"-4,984257","4,871567","-3,659209","4,562027","-3,756747","3,444247","-3,445312","4,000355"
"0,011","-1,709872",0,0,"-0,757457",0,0,,"-4,734257","3,871567","-4,909209","4,062027","-3,006747","3,444247","-3,445312","2,250355"
"0,012","1,290128",0,0,"0,492543",0,0,,"-4,984257","4,621567","-3,659209","5,312027","-4,006747","3,944247","-3,195312","3,750355"
"0,013","-1,209872",0,0,"-1,507457",0,0,,"-4,734257","3,621567","-4,159209","4,062027","-3,506747","2,444247","-3,445312","3,000355"
"0,014","-0,709872",0,0,"1,242543",0,0,,"-5,234257","4,121567","-4,159209","4,562027","-3,006747","3,444247","-2,695312","3,500355"
"0,015","0,790128",0,0,"0,492543",0,0,,"-3,984257","4,371567","-4,159209","4,562027","-3,756747","3,944247","-3,195312","3,500355"
"0,016","1,040128",0,0,"0,492543",0,0,,"-4,484257","5,371567","-4,409209","4,562027","-3,006747","3,444247","-3,195312","3,250355"
"0,017","-0,209872",0,0,"0,242543",0,0,,"-5,484257","4,371567","-3,409209","4,312027","-3,506747","3,944247","-3,195312","3,000355"
"0,018","-0,709872",0,0,"0,242543",0,0,,"-5,234257","4,871567","-4,659209","4,312027","-3,506747","3,694247","-3,195312","3,250355"
"0,019","-0,209872",0,0,"1,242543",0,0,,"-4,734257","4,371567","-4,659209","4,812027","-3,506747","4,194247","-3,195312","3,750355"
"0,02","0,040128",0,0,"0,242543",0,0,,"-4,734257","4,621567","-4,659209","4,812027","-2,756747","3,444247","-2,945312","2,500355"
"0,021","-0,459872",0,0,"-1,007457",0,0,,"-5,234257","4,871567","-4,659209","4,562027","-3,506747","2,944247","-3,695312","3,250355"
"0,022","-1,459872",0,0,"-0,757457",0,0,,"-4,734257","4,121567","-4,159209","3,312027","-3,506747","2,444247","-2,945312","3,250355"
"0,023","-1,209872",0,0,"1,742543",0,0,,"-4,734257","4,621567","-5,409209","4,312027","-3,256747","4,694247","-2,945312","3,250355"
"0,024","-0,459872",0,0,"-0,007457",0,0,,"-5,734257","4,871567","-4,159209","4,562027","-3,256747","3,694247","-3,945312","3,500355"
"0,025","-0,209872",0,0,"-1,007457",0,0,,"-5,234257","5,121567","-4,409209","4,312027","-4,256747","3,944247","-3,195312","2,500355"
"0,026","0,290128",0,0,"-0,007457",0,0,,"-4,984257","4,371567","-4,659209","5,562027","-4,256747","4,194247","-3,445312","3,500355"
"0,027","0,790128",0,0,"-0,007457",0,0,,"-4,734257","4,371567","-3,909209","5,062027","-3,756747","3,444247","-3,445312","3,750355"
"0,028","-0,459872",0,0,"-1,257457",0,0,,"-4,734257","4,871567","-4,909209","4,312027","-3,506747","3,444247","-3,695312","2,500355"
"0,029","0,790128",0,0,"0,242543",0,0,,"-4,734257","4,371567","-4,659209","5,812027","-2,756747","3,194247","-3,945312","3,750355"
"0,03","-0,209872",0,0,"-0,507457",0,0,,"-4,484257","4,371567","-4,909209","4,812027","-3,506747","3,444247","-2,445312","2,000355"
"0,031","0,790128",0,0,"-1,757457",0,0,,"-4,234257","4,371567","-3,909209","4,562027","-3,506747","2,194247","-2,945312","2,500355"
"0,032","-0,209872",0,0,"1,492543",0,0,,"-5,234257","5,621567","-4,909209","4,312027","-2,756747","3,694247","-2,695312","3,250355"
"0,033","-1,709872",0,0,"0,242543",0,0,,"-4,234257","4,121567","-4,909209","3,312027","-3,506747","2,944247","-2,695312","3,500355"
"0,034","-0,709872",0,0,"-0,007457",0,0,,"-4,984257","4,371567","-4,909209","4,812027","-3,256747","3,444247","-2,695312","2,500355"
"0,035","0,290128",0,0,"-0,507457",0,0,,"-4,984257","4,621567","-4,159209","4,812027","-3,506747","3,194247","-3,445312","3,250355"
"0,036","0,790128",0,0,"0,992543",0,0,,"-3,984257","4,121567","-3,409209","4,062027","-2,756747","3,194247","-2,945312","3,500355"
"0,037","-2,209872",0,0,"-1,507457",0,0,,"-5,484257","3,871567","-4,909209","4,312027","-3,506747","2,194247","-2,945312","2,750355"
"0,038","1,040128",0,0,"2,492543",0,0,,"-4,234257","4,871567","-4,159209","4,562027","-2,756747","4,194247","-2,945312","4,000355"
"0,039","-0,459872",0,0,"1,742543",0,0,,"-4,984257","4,371567","-3,909209","4,062027","-3,506747","3,444247","-2,195312","4,000355"
"0,04","-0,959872",0,0,"0,242543",0,0,,"-5,234257","4,371567","-4,659209","4,562027","-3,256747","2,694247","-3,195312","4,000355"
"0,041","-0,209872",0,0,"1,492543",0,0,,"-4,234257","4,621567","-4,659209","4,062027","-3,256747","4,194247","-2,695312","3,250355"
"0,042","-0,709872",0,0,"-2,007457",0,0,,"-5,234257","4,371567","-5,159209","5,312027","-4,006747","2,444247","-3,695312","3,250355"
"0,043","-1,209872",0,0,"0,242543",0,0,,"-4,234257","3,121567","-4,659209","4,562027","-3,006747","2,694247","-3,445312","4,000355"
"0,044","1,040128",0,0,"-0,507457",0,0,,"-4,234257","4,621567","-3,909209","4,562027","-3,506747","2,694247","-2,945312","3,250355"
"0,045","0,790128",0,0,"-0,757457",0,0,,"-4,484257","4,871567","-4,659209","5,062027","-3,256747","3,194247","-3,445312","2,750355"
"0,046","0,040128",0,0,"0,742543",0,0,,"-4,234257","4,621567","-4,159209","3,812027","-2,756747","3,194247","-2,945312","3,250355"
"0,047","0,040128",0,0,"1,742543",0,0,,"-4,734257","4,371567","-3,909209","4,312027","-3,506747","3,444247","-2,445312","4,250355"
"0,048","-0,959872",0,0,"1,742543",0,0,,"-4,734257","3,621567","-4,159209","4,312027","-3,506747","3,694247","-2,445312","4,000355"
"0,049","2,790128",0,0,"2,242543",0,0,,"-4,734257","5,621567","-3,409209","5,312027","-2,756747","3,444247","-2,445312","4,000355"
"0,05","2,040128",0,0,"0,492543",0,0,,"-3,984257","5,371567","-3,659209","4,312027","-3,256747","3,944247","-3,695312","3,500355"
"0,051","1,540128",0,0,"0,992543",0,0,,"-4,484257","4,871567","-3,909209","5,062027","-2,506747","3,944247","-4,195312","3,750355"
"0,052","-1,709872",0,0,"0,992543",0,0,,"-5,234257","4,371567","-4,659209","3,812027","-3,256747","3,444247","-3,195312","4,000355"
"0,053","1,040128",0,0,"1,242543",0,0,,"-3,484257","4,371567","-3,409209","3,562027","-3,006747","3,444247","-2,445312","3,250355"
"0,054","-0,459872",0,0,"-1,757457",0,0,,"-4,734257","3,871567","-3,909209","4,312027","-4,006747","2,694247","-3,945312","3,500355"
"0,055","-0,209872",0,0,"0,742543",0,0,,"-4,984257","4,871567","-4,659209","4,562027","-3,256747","3,694247","-2,945312","3,250355"
"0,056","0,540128",0,0,"-0,507457",0,0,,"-4,984257","4,871567","-4,409209","5,062027","-4,756747","3,444247","-3,195312","4,000355"
"0,057","0,790128",0,0,"0,492543",0,0,,"-4,734257","4,871567","-3,409209","4,062027","-4,256747","4,194247","-3,195312","3,750355"
"0,058","-0,459872",0,0,"0,992543",0,0,,"-4,484257","4,371567","-4,909209","4,562027","-3,006747","3,194247","-3,445312","4,250355"
"0,059","-0,209872",0,0,"-0,257457",0,0,,"-4,734257","4,121567","-4,409209","4,812027","-3,506747","3,194247","-3,445312","3,500355"
"0,06","0,040128",0,0,"0,242543",0,0,,"-4,734257","4,371567","-3,909209","4,312027","-2,256747","4,194247","-4,195312","2,500355"
"0,061","-1,209872",0,0,"-0,257457",0,0,,"-4,734257","4,371567","-4,659209","3,812027","-3,506747","3,194247","-3,945312","4,000355"
"0,062","-0,709872",0,0,"-0,507457",0,0,,"-3,734257","4,371567","-5,409209","4,062027","-3,756747","2,944247","-3,695312","4,000355"
"0,063","0,540128",0,0,"-0,257457",0,0,,"-5,234257","5,121567","-3,909209","4,562027","-3,506747","2,944247","-2,945312","3,250355"
"0,064","0,290128",0,0,"0,742543",0,0,,"-3,984257","4,121567","-4,159209","4,312027","-3,506747","3,194247","-2,945312","4,000355"
"0,065","1,290128",0,0,"0,742543",0,0,,"-3,984257","4,121567","-3,909209","5,062027","-3,506747","4,194247","-3,445312","3,500355"
"0,066","-0,709872",0,0,"-1,257457",0,0,,"-4,734257","3,621567","-3,159209","3,562027","-3,506747","2,944247","-3,945312","3,250355"
"0,067","1,040128",0,0,"0,992543",0,0,,"-3,984257","4,621567","-3,909209","4,312027","-3,506747","3,444247","-2,945312","4,000355"
"0,068","0,540128",0,0,"0,742543",0,0,,"-4,734257","4,621567","-3,409209","4,062027","-3,756747","3,944247","-3,445312","4,000355"
"0,069","-1,959872",0,0,"-2,007457",0,0,,"-4,734257","3,871567","-4,409209","3,312027","-4,256747","2,694247","-4,945312","4,500355"
"0,07","-0,959872",0,0,"0,242543",0,0,,"-4,734257","3,621567","-4,409209","4,562027","-3,256747","3,944247","-3,445312","3,000355"
"0,071","2,040128",0,0,"0,742543",0,0,,"-3,734257","4,371567","-3,909209","5,312027","-3,506747","4,444247","-3,695312","3,500355"
"0,072","0,790128",0,0,"-1,257457",0,0,,"-4,234257","4,371567","-3,909209","4,562027","-5,006747","3,694247","-3,945312","4,000355"
"0,073","-0,459872",0,0,"-0,507457",0,0,,"-3,984257","3,621567","-4,409209","4,312027","-4,256747","3,444247","-3,445312","3,750355"
"0,074","-0,959872",0,0,"0,242543",0,0,,"-4,484257","3,871567","-3,909209","3,562027","-3,506747","3,194247","-3,445312","4,000355"
"0,075","-0,959872",0,0,"-0,757457",0,0,,"-4,734257","3,621567","-3,659209","3,812027","-4,006747","2,944247","-4,195312","4,500355"
