ForceDecks Raw Data Export,2.0
Weight,86
Frequency,1000
Recording Date,2024-10-10T12:34:08
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T12:34:10
AthleteId,e3b9d21b-a351-45ec-b2cf-a6b18814c4b0

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
"0,035","0,865496",0,0,"1,824832",0,0,,"8,582291","-7,190448","7,818696","-8,345043","-1,057628","2,706328","-1,644731","1,820861"
"0,036","-1,384504",0,0,"1,324832",0,0,,"7,582291","-8,440448","7,068696","-7,595043","-0,807628","2,206328","-0,894731","0,820861"
"0,037","-1,634504",0,0,"0,074832",0,0,,"7,082291","-8,190448","7,818696","-8,345043","-1,557628","1,206328","-1,144731","1,570861"
"0,038","0,615496",0,0,"2,074832",0,0,,"8,332291","-7,440448","7,068696","-7,345043","-0,307628","2,206328","-1,144731","1,320861"
"0,039","-0,384504",0,0,"1,574832",0,0,,"7,832291","-7,690448","7,318696","-7,845043","-1,807628","2,456328","-1,144731","2,070861"
"0,04","0,115496",0,0,"-0,175168",0,0,,"8,082291","-7,940448","7,818696","-7,845043","-2,057628","2,456328","-1,644731","1,070861"
"0,041","0,615496",0,0,"1,324832",0,0,,"7,832291","-6,940448","8,068696","-8,345043","-0,807628","1,956328","-1,644731","1,820861"
"0,042","-0,884504",0,0,"1,324832",0,0,,"7,832291","-9,190448","8,318696","-7,845043","-1,057628","1,706328","-1,144731","1,820861"
"0,043","-0,634504",0,0,"-0,675168",0,0,,"7,582291","-7,940448","7,568696","-7,845043","-2,557628","2,206328","-1,144731","0,820861"
"0,044","1,365496",0,0,"-0,425168",0,0,,"9,082291","-7,440448","7,818696","-8,095043","-1,057628","0,956328","-1,644731","1,320861"
"0,045","-2,384504",0,0,"1,074832",0,0,,"7,832291","-9,190448","7,068696","-8,095043","-1,307628","1,706328","-1,144731","1,820861"
"0,046","1,115496",0,0,"-0,925168",0,0,,"8,582291","-7,440448","8,568696","-8,595043","-2,057628","1,956328","-2,394731","1,570861"
"0,047","-0,134504",0,0,"0,324832",0,0,,"8,082291","-8,190448","7,568696","-7,595043","-0,307628","0,956328","-1,644731","1,320861"
"0,048","-1,634504",0,0,"0,074832",0,0,,"8,332291","-8,190448","7,068696","-8,845043","-1,057628","1,956328","-2,394731","1,570861"
"0,049","1,115496",0,0,"-0,175168",0,0,,"8,082291","-7,440448","8,318696","-7,845043","-0,807628","0,956328","-2,394731","2,070861"
"0,05","0,365496",0,0,"1,574832",0,0,,"7,832291","-7,440448","8,318696","-8,345043","-1,307628","2,456328","-1,644731","2,070861"
"0,051","1,365496",0,0,"2,324832",0,0,,"8,332291","-7,440448","8,318696","-7,845043","-0,807628","2,456328","-1,144731","1,820861"
"0,052","0,865496",0,0,"0,074832",0,0,,"8,332291","-7,940448","7,818696","-7,345043","-1,557628","1,956328","-1,644731","1,320861"
"0,053","0,615496",0,0,"1,574832",0,0,,"8,332291","-8,190448","8,318696","-7,845043","-1,307628","1,706328","-1,394731","2,570861"
"0,054","0,115496",0,0,"1,324832",0,0,,"7,832291","-7,940448","7,318696","-7,095043","-0,807628","1,456328","-1,144731","1,820861"
"0,055","0,615496",0,0,"0,574832",0,0,,"7,832291","-7,690448","7,818696","-7,345043","-0,807628","1,956328","-2,394731","1,820861"
"0,056","0,115496",0,0,"0,324832",0,0,,"7,832291","-7,440448","8,318696","-8,595043","-1,307628","1,456328","-1,394731","1,570861"
"0,057","0,615496",0,0,"0,824832",0,0,,"8,332291","-7,440448","7,318696","-7,595043","-1,057628","2,206328","-2,394731","2,070861"
"0,058","0,865496",0,0,"-0,425168",0,0,,"8,082291","-7,690448","7,818696","-7,345043","-2,057628","2,206328","-1,644731","1,070861"
"0,059","-0,884504",0,0,"-0,925168",0,0,,"8,082291","-8,190448","7,818696","-8,595043","-1,557628","1,706328","-2,394731","1,320861"
"0,06","0,615496",0,0,"0,324832",0,0,,"8,332291","-7,440448","7,068696","-7,345043","-1,557628","1,206328","-1,144731","1,820861"
"0,061","-0,384504",0,0,"0,824832",0,0,,"7,832291","-8,190448","7,818696","-7,845043","-0,807628","2,706328","-1,894731","0,820861"
