ForceDecks Raw Data Export,2.0
Weight,90
Frequency,1000
Recording Date,2024-11-07T10:45:12
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-11-07T13:49:55
AthleteId,8a0aa096-e14e-4d09-8118-485a28609c11

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-1,422487",0,0,"1,201156",0,0,,"-7,280439","6,364913","-6,422487","5,915526","38,112199","-38,089783","38,592732","-37,413992"
"0,001","-2,422487",0,0,"1,951156",0,0,,"-7,530439","6,614913","-6,672487","5,165526","38,862199","-37,839783","39,592732","-38,663992"
"0,002","-2,672487",0,0,"1,701156",0,0,,"-8,030439","5,364913","-6,922487","6,915526","38,862199","-38,589783","39,842732","-38,413992"
"0,003","-2,422487",0,0,"0,951156",0,0,,"-7,030439","5,864913","-6,172487","4,915526","39,612199","-39,339783","39,342732","-38,663992"
"0,004","-2,672487",0,0,"0,951156",0,0,,"-8,280439","5,614913","-5,422487","5,415526","39,612199","-39,089783","39,592732","-39,163992"
"0,005","-1,672487",0,0,"-1,798844",0,0,,"-8,280439","5,614913","-4,922487","5,915526","38,862199","-40,089783","38,842732","-39,413992"
"0,006","0,827513",0,0,"-2,798844",0,0,,"-8,030439","6,364913","-3,922487","6,415526","38,862199","-39,839783","38,342732","-40,163992"
"0,007","0,577513",0,0,"-2,548844",0,0,,"-6,530439","5,364913","-3,422487","5,165526","39,362199","-39,839783","37,842732","-39,913992"
"0,008","1,827513",0,0,"-5,298844",0,0,,"-6,280439","6,364913","-4,172487","5,915526","38,112199","-40,839783","37,842732","-40,413992"
"0,009","-0,672487",0,0,"0,201156",0,0,,"-8,280439","6,114913","-4,172487","5,665526","38,362199","-38,839783","39,342732","-38,663992"
"0,01","-0,422487",0,0,"-1,298844",0,0,,"-7,530439","6,864913","-5,422487","5,665526","37,612199","-39,089783","38,342732","-38,163992"
"0,011","-0,172487",0,0,"-1,548844",0,0,,"-6,780439","6,364913","-5,172487","5,415526","38,612199","-39,089783","37,592732","-38,663992"
"0,012","0,327513",0,0,"-2,548844",0,0,,"-7,030439","6,864913","-5,422487","5,915526","37,112199","-39,339783","37,842732","-38,163992"
"0,013","1,577513",0,0,"-0,048844",0,0,,"-6,280439","6,864913","-5,672487","6,665526","38,862199","-38,089783","37,342732","-38,163992"
"0,014","3,077513",0,0,"-1,548844",0,0,,"-5,530439","7,364913","-5,422487","6,665526","38,362199","-38,839783","37,092732","-38,163992"
"0,015","3,077513",0,0,"2,201156",0,0,,"-6,280439","7,364913","-4,672487","6,665526","38,862199","-37,589783","37,842732","-36,913992"
"0,016","3,577513",0,0,"0,951156",0,0,,"-5,780439","9,114913","-5,672487","5,915526","39,112199","-37,339783","37,092732","-37,913992"
"0,017","3,327513",0,0,"0,951156",0,0,,"-5,530439","8,114913","-5,922487","6,665526","38,862199","-37,589783","37,342732","-37,663992"
"0,018","4,827513",0,0,"3,701156",0,0,,"-5,280439","9,114913","-5,422487","6,415526","39,612199","-36,839783","37,842732","-36,913992"
"0,019","2,077513",0,0,"0,451156",0,0,,"-5,780439","8,614913","-5,922487","5,165526","38,362199","-36,839783","37,592732","-38,663992"
"0,02","4,077513",0,0,"2,951156",0,0,,"-5,280439","9,614913","-5,422487","5,165526","39,612199","-36,089783","37,342732","-37,913992"
"0,021","0,827513",0,0,"3,951156",0,0,,"-6,030439","8,614913","-6,422487","4,665526","40,112199","-36,089783","37,842732","-37,913992"
"0,022","0,827513",0,0,"2,951156",0,0,,"-6,780439","8,364913","-6,422487","5,665526","39,612199","-36,589783","37,342732","-37,413992"
"0,023","-0,672487",0,0,"2,451156",0,0,,"-7,030439","7,614913","-5,922487","4,665526","40,362199","-36,839783","37,842732","-38,913992"
"0,024","1,327513",0,0,"2,701156",0,0,,"-7,030439","8,114913","-5,422487","5,665526","40,612199","-38,589783","38,592732","-37,913992"
"0,025","0,577513",0,0,"1,201156",0,0,,"-7,280439","7,364913","-5,422487","5,915526","39,612199","-38,589783","37,842732","-37,663992"
"0,026","2,577513",0,0,"-0,798844",0,0,,"-7,030439","8,114913","-5,172487","6,665526","39,112199","-38,589783","37,342732","-38,663992"
"0,027","-0,422487",0,0,"-0,548844",0,0,,"-8,030439","6,864913","-5,422487","6,165526","39,112199","-39,589783","38,092732","-38,163992"
"0,028","3,077513",0,0,"-1,298844",0,0,,"-7,530439","7,864913","-5,172487","7,915526","38,112199","-39,589783","38,092732","-37,913992"
"0,029","3,827513",0,0,"-2,298844",0,0,,"-8,530439","8,864913","-4,422487","7,915526","39,612199","-40,839783","37,842732","-38,913992"
"0,03","1,827513",0,0,"-1,798844",0,0,,"-7,530439","7,364913","-5,422487","7,415526","38,362199","-39,589783","38,592732","-39,163992"
"0,031","0,327513",0,0,"-0,798844",0,0,,"-8,280439","7,114913","-5,672487","7,165526","38,362199","-39,589783","38,592732","-38,163992"
"0,032","0,327513",0,0,"-1,548844",0,0,,"-8,030439","7,114913","-5,922487","7,165526","38,862199","-39,839783","38,092732","-38,663992"
"0,033","-1,922487",0,0,"-2,048844",0,0,,"-7,530439","6,364913","-6,172487","5,415526","38,112199","-39,089783","37,842732","-38,913992"
"0,034","-2,922487",0,0,"-2,548844",0,0,,"-7,530439","6,114913","-6,422487","4,915526","37,612199","-38,839783","37,342732","-38,663992"
"0,035","-6,172487",0,0,"-0,548844",0,0,,"-8,030439","5,114913","-7,422487","4,165526","38,362199","-37,589783","37,842732","-39,163992"
"0,036","-5,422487",0,0,"-4,048844",0,0,,"-8,280439","5,364913","-6,922487","4,415526","38,362199","-38,089783","35,592732","-39,913992"
"0,037","-6,672487",0,0,"-3,048844",0,0,,"-8,530439","5,364913","-7,422487","3,915526","38,112199","-38,839783","36,592732","-38,913992"
"0,038","-6,922487",0,0,"-2,048844",0,0,,"-7,780439","5,364913","-7,922487","3,415526","38,362199","-38,089783","36,842732","-39,163992"
"0,039","-6,172487",0,0,"-3,048844",0,0,,"-8,030439","5,114913","-7,422487","4,165526","37,862199","-38,589783","36,842732","-39,163992"
"0,04","-5,172487",0,0,"-0,798844",0,0,,"-8,280439","5,614913","-6,172487","3,665526","38,362199","-38,589783","37,842732","-38,413992"
"0,041","-4,672487",0,0,"0,201156",0,0,,"-8,530439","6,864913","-6,172487","3,165526","38,112199","-37,339783","38,092732","-38,663992"
"0,042","-5,672487",0,0,"1,201156",0,0,,"-8,280439","4,864913","-5,922487","3,665526","38,862199","-37,839783","38,592732","-38,413992"
"0,043","-3,422487",0,0,"-0,298844",0,0,,"-7,280439","5,364913","-5,422487","3,915526","38,112199","-38,589783","38,342732","-38,163992"
"0,044","-0,672487",0,0,"1,951156",0,0,,"-7,030439","5,864913","-4,672487","5,165526","38,362199","-37,589783","38,592732","-37,413992"
"0,045","-0,922487",0,0,"2,451156",0,0,,"-7,280439","5,364913","-4,172487","5,165526","39,112199","-37,589783","38,592732","-37,663992"
"0,046","-0,672487",0,0,"0,951156",0,0,,"-6,780439","5,864913","-4,172487","4,415526","38,862199","-38,089783","37,592732","-37,413992"
"0,047","1,077513",0,0,"0,701156",0,0,,"-6,030439","5,864913","-4,172487","5,415526","38,362199","-37,589783","37,842732","-37,913992"
"0,048","1,077513",0,0,"-0,548844",0,0,,"-5,530439","5,364913","-4,422487","5,665526","37,612199","-37,589783","37,342732","-37,913992"
"0,049","4,077513",0,0,"-0,298844",0,0,,"-5,030439","6,614913","-2,672487","5,165526","38,112199","-37,589783","36,842732","-37,663992"
"0,05","3,827513",0,0,"0,701156",0,0,,"-4,780439","6,364913","-3,422487","5,665526","37,612199","-36,839783","37,342732","-37,413992"
"0,051","5,327513",0,0,"-0,298844",0,0,,"-4,280439","6,364913","-3,422487","6,665526","37,112199","-37,089783","37,092732","-37,413992"
"0,052","4,327513",0,0,"1,451156",0,0,,"-4,280439","6,114913","-3,422487","5,915526","36,862199","-36,589783","37,592732","-36,413992"
"0,053","5,327513",0,0,"-0,298844",0,0,,"-4,780439","6,614913","-3,172487","6,665526","37,112199","-36,839783","36,592732","-37,163992"
"0,054","4,327513",0,0,"0,201156",0,0,,"-5,280439","7,114913","-3,422487","5,915526","36,862199","-37,339783","36,092732","-35,413992"
"0,055","5,077513",0,0,"1,201156",0,0,,"-5,280439","8,614913","-3,922487","5,665526","37,112199","-36,839783","37,092732","-36,163992"
"0,056","3,827513",0,0,"0,951156",0,0,,"-6,280439","7,864913","-3,672487","5,915526","37,612199","-36,089783","36,092732","-36,663992"
"0,057","4,077513",0,0,"2,701156",0,0,,"-5,280439","7,364913","-4,172487","6,165526","37,862199","-35,589783","36,092732","-35,663992"
"0,058","4,577513",0,0,"-0,048844",0,0,,"-5,780439","8,614913","-4,172487","5,915526","36,862199","-36,839783","36,342732","-36,413992"
"0,059","4,827513",0,0,"2,701156",0,0,,"-5,530439","8,614913","-4,172487","5,915526","38,112199","-35,839783","36,592732","-36,163992"
"0,06","2,827513",0,0,"1,201156",0,0,,"-6,280439","8,614913","-4,922487","5,415526","37,612199","-36,339783","36,342732","-36,413992"
"0,061","3,827513",0,0,"2,701156",0,0,,"-5,030439","6,614913","-4,172487","6,415526","38,362199","-36,339783","36,592732","-35,913992"
"0,062","3,077513",0,0,"1,201156",0,0,,"-5,530439","7,864913","-5,422487","6,165526","37,612199","-36,589783","36,592732","-36,413992"
"0,063","0,077513",0,0,"3,201156",0,0,,"-6,280439","7,114913","-6,172487","5,415526","38,862199","-36,839783","37,342732","-36,163992"
"0,064","1,577513",0,0,"0,451156",0,0,,"-6,780439","7,364913","-5,422487","6,415526","37,112199","-36,589783","37,342732","-37,413992"
"0,065","0,577513",0,0,"2,201156",0,0,,"-6,280439","7,114913","-6,172487","5,915526","38,362199","-37,089783","37,092732","-36,163992"
"0,066","3,077513",0,0,"0,951156",0,0,,"-6,530439","7,114913","-3,922487","6,415526","38,112199","-37,089783","37,342732","-37,413992"
"0,067","0,577513",0,0,"2,451156",0,0,,"-7,280439","7,614913","-5,672487","5,915526","38,362199","-36,339783","37,092732","-36,663992"
"0,068","1,077513",0,0,"0,201156",0,0,,"-7,030439","7,114913","-4,922487","5,915526","38,612199","-36,839783","36,592732","-38,163992"
"0,069","-1,172487",0,0,"0,201156",0,0,,"-7,530439","7,614913","-5,922487","4,665526","38,112199","-38,089783","37,092732","-36,913992"
"0,07","0,077513",0,0,"-0,048844",0,0,,"-7,530439","7,364913","-5,672487","5,915526","38,112199","-37,339783","36,592732","-37,413992"
"0,071","-0,422487",0,0,"-2,298844",0,0,,"-8,030439","8,364913","-6,672487","5,915526","36,862199","-37,839783","36,592732","-37,913992"
"0,072","-1,172487",0,0,"-1,548844",0,0,,"-8,030439","7,364913","-6,172487","5,665526","37,612199","-38,089783","37,092732","-38,163992"
"0,073","-1,672487",0,0,"0,951156",0,0,,"-8,530439","7,114913","-5,922487","5,665526","37,862199","-36,839783","37,342732","-37,413992"
"0,074","-2,922487",0,0,"-0,798844",0,0,,"-8,280439","6,864913","-6,672487","5,165526","38,362199","-38,089783","36,842732","-37,913992"
"0,075","-3,672487",0,0,"-1,048844",0,0,,"-9,030439","6,614913","-6,422487","5,165526","38,362199","-37,839783","36,342732","-37,913992"
"0,076","-4,172487",0,0,"-3,798844",0,0,,"-9,030439","6,864913","-6,922487","4,915526","37,362199","-38,089783","36,092732","-39,163992"
"0,077","-4,672487",0,0,"-1,798844",0,0,,"-9,030439","6,864913","-7,172487","4,665526","37,612199","-38,089783","36,592732","-37,913992"
"0,078","-5,672487",0,0,"-1,548844",0,0,,"-9,030439","6,614913","-7,922487","4,665526","36,862199","-37,839783","37,592732","-38,163992"
"0,079","-3,922487",0,0,"-3,298844",0,0,,"-8,530439","6,864913","-7,172487","4,915526","36,862199","-38,089783","36,592732","-38,663992"
"0,08","-3,172487",0,0,"-2,798844",0,0,,"-8,780439","6,614913","-6,672487","5,665526","37,112199","-38,089783","36,592732","-38,413992"
"0,081","-3,172487",0,0,"-1,298844",0,0,,"-8,530439","6,364913","-6,172487","5,165526","38,112199","-39,089783","37,342732","-37,663992"
"0,082","-2,422487",0,0,"-2,798844",0,0,,"-8,280439","7,114913","-6,672487","5,415526","37,112199","-37,589783","36,592732","-38,913992"
"0,083","-3,672487",0,0,"-1,548844",0,0,,"-8,280439","6,114913","-7,422487","5,915526","37,612199","-37,589783","36,592732","-38,163992"
"0,084","-1,172487",0,0,"-1,298844",0,0,,"-8,280439","7,864913","-6,672487","5,915526","37,112199","-37,339783","37,342732","-38,413992"
"0,085","-1,922487",0,0,"-0,548844",0,0,,"-8,780439","6,614913","-6,172487","6,415526","37,862199","-37,589783","36,592732","-37,413992"
"0,086","-1,672487",0,0,"-1,798844",0,0,,"-8,530439","7,114913","-6,172487","5,915526","37,112199","-38,089783","36,592732","-37,413992"
"0,087","0,077513",0,0,"1,451156",0,0,,"-7,780439","7,114913","-6,422487","7,165526","37,612199","-36,839783","37,342732","-36,663992"
"0,088","0,827513",0,0,"-0,048844",0,0,,"-7,780439","8,114913","-6,172487","6,665526","38,362199","-38,089783","36,592732","-36,913992"
"0,089","-1,172487",0,0,"0,451156",0,0,,"-8,030439","6,864913","-6,422487","6,415526","37,112199","-36,589783","37,342732","-37,413992"
"0,09","2,077513",0,0,"2,201156",0,0,,"-7,280439","8,614913","-6,172487","6,915526","37,612199","-36,839783","37,842732","-36,413992"
"0,091","2,077513",0,0,"0,201156",0,0,,"-7,780439","8,614913","-5,922487","7,165526","37,612199","-36,839783","36,342732","-36,913992"
"0,092","2,077513",0,0,"1,701156",0,0,,"-7,780439","8,364913","-6,172487","7,665526","38,112199","-36,839783","36,842732","-36,413992"
"0,093","3,077513",0,0,"2,201156",0,0,,"-7,280439","9,364913","-6,422487","7,415526","38,362199","-36,589783","36,842732","-36,413992"
"0,094","3,327513",0,0,"1,701156",0,0,,"-7,030439","8,864913","-6,172487","7,665526","38,112199","-36,339783","36,092732","-36,163992"
"0,095","3,827513",0,0,"2,201156",0,0,,"-7,030439","9,114913","-5,422487","7,165526","37,612199","-36,089783","36,592732","-35,913992"
"0,096","4,077513",0,0,"2,201156",0,0,,"-7,280439","9,864913","-5,672487","7,165526","37,362199","-35,589783","36,842732","-36,413992"
"0,097","2,827513",0,0,"2,201156",0,0,,"-7,530439","9,114913","-6,172487","7,415526","37,362199","-36,089783","37,342732","-36,413992"
"0,098","1,577513",0,0,"1,451156",0,0,,"-7,530439","8,614913","-6,672487","7,165526","37,362199","-36,089783","36,842732","-36,663992"
"0,099","2,577513",0,0,"2,201156",0,0,,"-7,780439","8,614913","-6,172487","7,915526","38,112199","-36,839783","37,092732","-36,163992"
"0,1","1,077513",0,0,"0,201156",0,0,,"-8,030439","8,864913","-6,922487","7,165526","37,362199","-36,839783","36,092732","-36,413992"
"0,101","3,327513",0,0,"0,951156",0,0,,"-6,780439","9,364913","-6,172487","6,915526","36,862199","-36,089783","36,092732","-35,913992"
"0,102","2,827513",0,0,"0,701156",0,0,,"-7,030439","8,864913","-6,172487","7,165526","37,612199","-36,839783","36,842732","-36,913992"
"0,103","2,827513",0,0,"1,451156",0,0,,"-7,280439","9,114913","-5,922487","6,915526","38,112199","-36,339783","36,592732","-36,913992"
"0,104","2,577513",0,0,"2,201156",0,0,,"-8,030439","9,864913","-6,422487","7,165526","38,112199","-36,589783","37,342732","-36,663992"
"0,105","1,827513",0,0,"-0,048844",0,0,,"-7,530439","8,614913","-6,672487","7,415526","38,112199","-36,839783","36,342732","-37,663992"
"0,106","-0,172487",0,0,"1,201156",0,0,,"-8,030439","8,614913","-7,672487","6,915526","38,362199","-36,839783","36,592732","-36,913992"
"0,107","0,327513",0,0,"0,701156",0,0,,"-8,280439","7,864913","-6,422487","7,165526","37,612199","-36,589783","36,592732","-36,913992"
"0,108","1,827513",0,0,"0,201156",0,0,,"-7,530439","8,614913","-6,672487","7,415526","37,612199","-38,089783","37,092732","-36,413992"
"0,109","1,077513",0,0,"0,451156",0,0,,"-8,530439","8,864913","-6,422487","7,165526","37,362199","-36,589783","37,092732","-37,413992"
"0,11","-2,172487",0,0,"0,201156",0,0,,"-9,280439","8,864913","-8,422487","6,665526","37,612199","-36,089783","36,592732","-37,913992"
"0,111","-2,422487",0,0,"-0,298844",0,0,,"-9,030439","7,864913","-7,422487","6,165526","37,862199","-36,839783","36,592732","-37,913992"
"0,112","-2,922487",0,0,"-0,798844",0,0,,"-9,530439","7,864913","-7,922487","6,665526","37,362199","-37,089783","36,592732","-37,663992"
"0,113","-1,172487",0,0,"-0,798844",0,0,,"-9,530439","8,614913","-6,922487","6,665526","37,612199","-36,589783","36,842732","-38,663992"
"0,114","-2,172487",0,0,"-0,298844",0,0,,"-10,280439","8,864913","-7,672487","6,915526","37,112199","-36,839783","37,092732","-37,663992"
"0,115","-4,672487",0,0,"-2,298844",0,0,,"-10,280439","7,864913","-8,422487","6,165526","36,362199","-37,089783","36,092732","-37,663992"
"0,116","-1,922487",0,0,"-1,048844",0,0,,"-9,780439","8,864913","-6,922487","5,915526","36,862199","-38,089783","37,592732","-37,413992"
"0,117","-3,672487",0,0,"-1,798844",0,0,,"-10,280439","7,864913","-7,922487","6,665526","36,862199","-37,839783","37,092732","-37,913992"
"0,118","-1,922487",0,0,"-2,548844",0,0,,"-9,280439","8,364913","-7,672487","6,665526","37,612199","-37,839783","36,092732","-38,413992"
"0,119","-2,672487",0,0,"-1,798844",0,0,,"-9,530439","8,864913","-8,672487","6,665526","37,112199","-37,089783","35,592732","-37,413992"
"0,12","-2,672487",0,0,"-0,548844",0,0,,"-10,030439","7,614913","-8,672487","8,415526","37,862199","-37,839783","36,592732","-37,163992"
"0,121","-3,422487",0,0,"-0,798844",0,0,,"-9,780439","7,864913","-8,172487","6,665526","37,362199","-37,089783","36,092732","-37,163992"
"0,122","-2,672487",0,0,"-1,548844",0,0,,"-10,280439","8,114913","-7,922487","7,415526","36,862199","-37,339783","36,592732","-37,663992"
"0,123","-2,422487",0,0,"-0,298844",0,0,,"-9,030439","7,864913","-7,922487","6,665526","37,612199","-38,089783","36,342732","-36,163992"
"0,124","0,077513",0,0,"-0,298844",0,0,,"-9,030439","8,614913","-7,422487","7,915526","36,862199","-38,339783","37,342732","-36,163992"
"0,125","-1,422487",0,0,"0,451156",0,0,,"-9,030439","7,864913","-7,422487","7,165526","37,612199","-36,589783","36,342732","-36,913992"
"0,126","-0,172487",0,0,"-0,548844",0,0,,"-9,780439","9,864913","-7,422487","7,165526","36,862199","-37,339783","36,592732","-36,663992"
"0,127","0,327513",0,0,"-0,298844",0,0,,"-9,530439","9,364913","-7,922487","8,415526","37,112199","-37,339783","36,842732","-36,913992"
"0,128","-0,172487",0,0,"-0,798844",0,0,,"-9,030439","8,364913","-7,422487","7,915526","37,612199","-37,839783","37,092732","-37,663992"
"0,129","1,077513",0,0,"0,701156",0,0,,"-9,530439","9,864913","-7,422487","8,165526","37,362199","-37,339783","36,592732","-35,913992"
"0,13","-0,172487",0,0,"0,451156",0,0,,"-8,780439","8,364913","-7,672487","7,915526","37,612199","-36,589783","36,592732","-37,163992"
"0,131","0,327513",0,0,"1,701156",0,0,,"-8,780439","8,864913","-7,672487","7,915526","37,612199","-36,339783","37,092732","-36,663992"
"0,132","1,577513",0,0,"4,451156",0,0,,"-8,280439","8,864913","-6,922487","7,915526","38,612199","-35,589783","37,092732","-35,663992"
"0,133","1,577513",0,0,"1,451156",0,0,,"-8,280439","9,864913","-7,672487","7,665526","37,612199","-36,589783","36,842732","-36,413992"
"0,134","3,077513",0,0,"1,951156",0,0,,"-7,530439","9,864913","-6,672487","7,415526","37,612199","-35,839783","36,092732","-35,913992"
"0,135","0,827513",0,0,"-0,048844",0,0,,"-9,030439","9,364913","-7,922487","8,415526","37,612199","-37,589783","37,342732","-37,413992"
"0,136","2,077513",0,0,"1,451156",0,0,,"-9,030439","9,614913","-6,672487","8,165526","37,362199","-36,339783","36,592732","-36,163992"
"0,137","1,327513",0,0,"-0,048844",0,0,,"-9,030439","9,364913","-6,422487","7,415526","37,362199","-36,589783","36,592732","-37,413992"
"0,138","0,827513",0,0,"0,201156",0,0,,"-8,780439","8,614913","-6,922487","7,915526","37,362199","-36,339783","36,342732","-37,163992"
"0,139","-0,172487",0,0,"1,451156",0,0,,"-9,030439","9,114913","-7,422487","7,165526","37,612199","-36,589783","36,342732","-35,913992"
"0,14","-0,422487",0,0,"1,451156",0,0,,"-9,530439","8,864913","-7,422487","7,665526","37,612199","-36,089783","36,592732","-36,663992"
"0,141","-0,172487",0,0,"-0,548844",0,0,,"-8,780439","9,114913","-7,922487","7,415526","37,612199","-36,839783","35,842732","-37,163992"
"0,142","0,577513",0,0,"0,951156",0,0,,"-9,030439","9,364913","-7,422487","7,665526","37,362199","-36,089783","36,092732","-36,413992"
"0,143","1,327513",0,0,"0,451156",0,0,,"-8,530439","9,364913","-7,922487","8,415526","37,112199","-36,589783","36,592732","-36,663992"
"0,144","0,577513",0,0,"1,451156",0,0,,"-9,030439","9,114913","-7,422487","7,915526","37,362199","-35,839783","36,592732","-36,663992"
"0,145","0,327513",0,0,"-0,548844",0,0,,"-8,280439","8,614913","-7,922487","7,915526","37,612199","-36,339783","35,342732","-37,163992"
"0,146","2,577513",0,0,"2,451156",0,0,,"-8,280439","9,114913","-6,672487","8,415526","38,362199","-36,089783","36,592732","-36,413992"
"0,147","0,827513",0,0,"1,451156",0,0,,"-8,780439","8,864913","-6,672487","7,415526","38,862199","-37,089783","36,342732","-36,663992"
"0,148","-0,172487",0,0,"-0,548844",0,0,,"-9,780439","8,614913","-6,672487","7,665526","37,612199","-37,339783","36,342732","-37,163992"
"0,149","-0,172487",0,0,"-0,048844",0,0,,"-8,530439","8,614913","-7,422487","7,165526","36,862199","-36,839783","36,592732","-36,663992"
"0,15","-1,922487",0,0,"0,201156",0,0,,"-9,530439","7,864913","-8,172487","7,915526","37,362199","-36,839783","35,842732","-36,163992"
"0,151","1,827513",0,0,"-1,798844",0,0,,"-9,030439","9,614913","-7,422487","8,665526","36,862199","-37,339783","36,092732","-37,413992"
"0,152","-0,922487",0,0,"1,201156",0,0,,"-9,030439","8,614913","-7,672487","7,165526","37,112199","-36,839783","37,092732","-36,163992"
"0,153","-0,422487",0,0,"0,201156",0,0,,"-8,530439","8,364913","-6,672487","6,415526","36,862199","-36,589783","36,092732","-36,163992"
"0,154","-0,172487",0,0,"-0,798844",0,0,,"-9,530439","8,614913","-6,922487","7,665526","37,362199","-36,839783","35,342732","-36,663992"
"0,155","-1,672487",0,0,"0,201156",0,0,,"-9,530439","8,614913","-7,922487","7,165526","36,862199","-36,089783","36,842732","-37,413992"
"0,156","-1,422487",0,0,"-0,298844",0,0,,"-9,780439","9,364913","-7,922487","6,915526","36,862199","-36,839783","35,592732","-35,913992"
"0,157","-0,422487",0,0,"-1,798844",0,0,,"-8,530439","8,864913","-8,172487","7,415526","36,362199","-36,839783","36,342732","-37,663992"
"0,158","-0,922487",0,0,"0,201156",0,0,,"-9,280439","8,364913","-7,422487","7,415526","37,612199","-36,089783","35,342732","-36,663992"
"0,159","0,827513",0,0,"-0,048844",0,0,,"-9,530439","9,114913","-6,672487","7,915526","36,612199","-37,089783","36,342732","-35,913992"
"0,16","-1,422487",0,0,"0,951156",0,0,,"-9,530439","8,114913","-7,422487","7,415526","37,362199","-36,089783","36,342732","-36,663992"
"0,161","-1,422487",0,0,"-0,798844",0,0,,"-9,530439","8,864913","-7,422487","6,665526","36,862199","-36,839783","35,842732","-36,663992"
"0,162","-0,672487",0,0,"0,451156",0,0,,"-9,280439","8,614913","-7,172487","7,165526","37,362199","-36,839783","36,842732","-36,913992"
"0,163","-1,172487",0,0,"-0,298844",0,0,,"-9,780439","8,864913","-7,672487","7,415526","36,862199","-36,839783","36,592732","-36,913992"
"0,164","-0,672487",0,0,"-0,548844",0,0,,"-9,030439","8,614913","-7,922487","7,665526","37,112199","-36,839783","36,092732","-36,913992"
"0,165","-1,672487",0,0,"0,951156",0,0,,"-8,780439","8,364913","-7,422487","6,165526","37,362199","-36,839783","36,842732","-36,413992"
"0,166","1,577513",0,0,"-0,048844",0,0,,"-8,780439","9,864913","-6,172487","6,665526","37,112199","-36,839783","36,092732","-36,413992"
"0,167","0,077513",0,0,"-0,798844",0,0,,"-9,030439","9,114913","-7,422487","7,415526","36,612199","-36,839783","35,842732","-36,413992"
"0,168","-0,172487",0,0,"0,451156",0,0,,"-9,280439","9,614913","-6,922487","6,415526","36,362199","-36,839783","37,342732","-36,413992"
"0,169","1,327513",0,0,"-0,298844",0,0,,"-8,530439","9,114913","-7,672487","8,415526","36,612199","-36,589783","36,092732","-36,413992"
"0,17","0,327513",0,0,"1,701156",0,0,,"-8,280439","8,114913","-7,422487","7,915526","37,612199","-36,089783","36,092732","-35,913992"
"0,171","0,327513",0,0,"0,951156",0,0,,"-8,280439","8,614913","-7,422487","7,415526","36,362199","-35,589783","36,092732","-35,913992"
"0,172","-0,422487",0,0,"-0,798844",0,0,,"-9,780439","9,114913","-7,422487","7,665526","36,362199","-36,089783","36,092732","-37,163992"
"0,173","1,577513",0,0,"-1,548844",0,0,,"-8,280439","9,114913","-7,172487","7,915526","35,362199","-35,839783","36,342732","-37,413992"
"0,174","0,327513",0,0,"-0,548844",0,0,,"-9,280439","9,614913","-7,922487","7,915526","36,362199","-36,339783","35,592732","-36,163992"
"0,175","0,327513",0,0,"0,451156",0,0,,"-8,030439","8,364913","-7,172487","7,165526","36,862199","-36,089783","35,842732","-36,163992"
"0,176","1,827513",0,0,"-0,798844",0,0,,"-8,530439","8,364913","-6,422487","8,415526","36,362199","-36,839783","35,592732","-35,913992"
"0,177","0,827513",0,0,"1,451156",0,0,,"-8,780439","9,114913","-6,922487","7,415526","36,862199","-36,089783","36,592732","-35,913992"
"0,178","0,577513",0,0,"1,201156",0,0,,"-8,530439","9,114913","-7,922487","7,915526","37,862199","-35,589783","35,842732","-36,913992"
"0,179","0,327513",0,0,"-0,298844",0,0,,"-8,280439","7,864913","-6,422487","7,165526","37,612199","-36,839783","36,092732","-37,163992"
"0,18","0,327513",0,0,"-0,548844",0,0,,"-9,280439","8,614913","-6,672487","7,665526","35,612199","-36,339783","36,842732","-36,663992"
"0,181","-0,172487",0,0,"0,451156",0,0,,"-8,530439","8,614913","-7,172487","6,915526","36,862199","-36,089783","35,842732","-36,163992"
"0,182","0,577513",0,0,"-0,548844",0,0,,"-8,280439","8,114913","-6,422487","7,165526","36,862199","-36,839783","36,092732","-36,663992"
"0,183","0,827513",0,0,"2,701156",0,0,,"-8,530439","8,614913","-6,422487","7,165526","37,862199","-36,339783","37,092732","-35,913992"
"0,184","0,077513",0,0,"1,201156",0,0,,"-8,780439","8,864913","-7,172487","7,165526","36,862199","-35,839783","35,592732","-35,413992"
"0,185","-0,672487",0,0,"-0,548844",0,0,,"-8,030439","8,614913","-7,922487","6,665526","36,862199","-36,089783","35,342732","-36,663992"
"0,186","1,077513",0,0,"1,201156",0,0,,"-8,280439","8,614913","-6,672487","7,415526","36,612199","-35,839783","36,092732","-35,663992"
"0,187","2,327513",0,0,"1,451156",0,0,,"-8,780439","9,614913","-6,672487","8,165526","37,362199","-36,089783","35,342732","-35,163992"
"0,188","1,577513",0,0,"0,201156",0,0,,"-8,280439","9,114913","-6,922487","7,665526","36,862199","-36,089783","36,092732","-36,663992"
"0,189","-0,922487",0,0,"0,701156",0,0,,"-8,780439","8,364913","-7,422487","6,915526","37,362199","-35,839783","35,592732","-36,413992"
