ForceDecks Raw Data Export,2.0
Weight,"93,2"
Frequency,1000
Recording Date,2024-10-10T12:01:50
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T16:28:14
AthleteId,0dc6e84b-1fb2-42d4-8b64-8ecbbcb8ee99

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
0,"-2,059104",0,0,"1,598546",0,0,,"8,036225","-8,69173","8,138346","-9,541945","-3,873093","4,532769","-3,2954","4,234271"
"0,001","0,690896",0,0,"0,598546",0,0,,"8,286225","-8,94173","9,888346","-8,541945","-3,873093","4,032769","-4,0454","4,484271"
"0,002","1,440896",0,0,"-1,401454",0,0,,"8,036225","-7,94173","9,138346","-7,791945","-4,623093","3,532769","-4,0454","3,734271"
"0,003","-0,309104",0,0,"0,098546",0,0,,"8,786225","-8,44173","8,388346","-9,041945","-4,873093","4,782769","-3,5454","3,734271"
"0,004","1,190896",0,0,"1,098546",0,0,,"9,536225","-8,94173","9,138346","-8,541945","-3,623093","4,032769","-3,7954","4,484271"
"0,005","0,440896",0,0,"-0,151454",0,0,,"8,536225","-8,94173","9,388346","-8,541945","-4,623093","4,032769","-4,0454","4,484271"
"0,006","0,440896",0,0,"0,348546",0,0,,"9,286225","-8,94173","8,638346","-8,541945","-3,623093","4,032769","-4,5454","4,484271"
"0,007","-0,559104",0,0,"1,098546",0,0,,"8,036225","-7,94173","9,138346","-9,791945","-3,623093","3,782769","-3,5454","4,484271"
"0,008","1,190896",0,0,"0,098546",0,0,,"8,786225","-8,44173","8,638346","-7,791945","-3,623093","4,782769","-4,2954","3,234271"
"0,009","-0,309104",0,0,"1,598546",0,0,,"8,786225","-8,94173","7,888346","-8,041945","-2,873093","3,782769","-4,0454","4,734271"
"0,01","-0,559104",0,0,"-0,151454",0,0,,"10,036225","-9,69173","7,888346","-8,791945","-4,373093","4,032769","-3,5454","3,734271"
"0,011","0,690896",0,0,"-0,151454",0,0,,"8,786225","-7,69173","8,888346","-9,291945","-3,623093","3,282769","-4,0454","4,234271"
"0,012","0,440896",0,0,"0,098546",0,0,,"9,286225","-8,94173","9,138346","-9,041945","-3,623093","4,032769","-4,5454","4,234271"
