ForceDecks Raw Data Export,2.0
Weight,"94,5"
Frequency,1000
Recording Date,2024-10-10T11:24:56
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-10T15:55:04
AthleteId,6ced2a20-c1b8-42c8-ae1e-bfeded77f0ce

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
"0,138","-2,014947",0,0,"-1,034113",0,0,,"12,226736","-12,673095","11,418153","-12,986741","-2,632594","2,016273","-3,009643","2,591851"
"0,139","0,235053",0,0,"-0,284113",0,0,,"12,226736","-12,673095","12,168153","-11,486741","-2,132594","2,516273","-3,009643","2,341851"
"0,14","-2,264947",0,0,"-0,784113",0,0,,"11,226736","-12,423095","11,918153","-12,986741","-2,382594","2,516273","-3,259643","2,341851"
"0,141","-0,514947",0,0,"2,965887",0,0,,"11,976736","-12,673095","11,668153","-11,486741","-2,882594","3,266273","-1,509643","4,091851"
"0,142","-1,514947",0,0,"-0,784113",0,0,,"11,976736","-12,673095","11,918153","-12,736741","-1,882594","2,016273","-3,009643","2,091851"
"0,143","-0,764947",0,0,"-0,034113",0,0,,"12,226736","-12,673095","11,418153","-11,736741","-2,382594","2,266273","-2,509643","2,591851"
"0,144","-0,764947",0,0,"-0,284113",0,0,,"11,726736","-12,673095","12,668153","-12,486741","-3,382594","3,016273","-2,759643","2,841851"
"0,145","1,735053",0,0,"-0,784113",0,0,,"12,726736","-11,673095","12,918153","-12,236741","-2,382594","2,766273","-3,009643","1,841851"
"0,146","-0,264947",0,0,"1,215887",0,0,,"11,976736","-12,673095","12,168153","-11,736741","-2,382594","3,266273","-3,009643","3,341851"
"0,147","-0,514947",0,0,"0,715887",0,0,,"12,226736","-13,173095","12,168153","-11,736741","-3,132594","3,266273","-2,759643","3,341851"
"0,148","-0,264947",0,0,"0,215887",0,0,,"11,976736","-12,673095","12,668153","-12,236741","-3,132594","3,016273","-2,759643","3,091851"
"0,149","-2,264947",0,0,"-0,784113",0,0,,"11,476736","-13,173095","11,418153","-11,986741","-3,132594","2,266273","-3,259643","3,341851"
"0,15","0,235053",0,0,"2,465887",0,0,,"12,226736","-11,923095","11,668153","-11,736741","-1,382594","3,266273","-2,509643","3,091851"
"0,151","1,735053",0,0,"-1,034113",0,0,,"12,976736","-12,173095","12,668153","-11,736741","-2,132594","1,516273","-3,009643","2,591851"
"0,152","0,735053",0,0,"0,965887",0,0,,"12,976736","-12,673095","11,918153","-11,486741","-3,132594","3,766273","-3,009643","3,341851"
"0,153","-0,264947",0,0,"1,215887",0,0,,"13,226736","-12,673095","12,168153","-12,986741","-2,882594","3,016273","-2,759643","3,841851"
"0,154","-1,264947",0,0,"-0,784113",0,0,,"12,226736","-12,173095","11,418153","-12,736741","-3,382594","1,766273","-3,009643","3,841851"
"0,155","-0,264947",0,0,"-0,284113",0,0,,"12,226736","-12,173095","12,668153","-12,986741","-3,132594","3,016273","-2,759643","2,591851"
"0,156","-0,014947",0,0,"0,465887",0,0,,"12,476736","-12,673095","12,418153","-12,236741","-2,382594","2,766273","-3,009643","3,091851"
"0,157","-1,264947",0,0,"-0,034113",0,0,,"12,476736","-12,923095","11,918153","-12,736741","-2,632594","2,016273","-2,759643","3,341851"
"0,158","-1,264947",0,0,"-2,284113",0,0,,"11,976736","-12,673095","11,418153","-11,986741","-2,632594","2,016273","-4,009643","2,341851"
"0,159","0,985053",0,0,"0,715887",0,0,,"12,476736","-12,173095","12,668153","-11,986741","-2,382594","3,016273","-2,509643","2,591851"
"0,16","-1,764947",0,0,"-0,034113",0,0,,"11,976736","-12,673095","11,918153","-12,986741","-2,382594","2,766273","-3,009643","2,591851"
"0,161","-0,514947",0,0,"-0,534113",0,0,,"11,976736","-11,923095","12,168153","-12,736741","-3,132594","3,266273","-3,259643","2,591851"
"0,162","0,735053",0,0,"-0,284113",0,0,,"12,226736","-12,423095","12,418153","-11,486741","-2,382594","2,766273","-3,259643","2,591851"
"0,163","0,235053",0,0,"2,215887",0,0,,"11,976736","-11,923095","12,168153","-11,986741","-1,882594","2,766273","-2,259643","3,591851"
"0,164","-0,764947",0,0,"1,215887",0,0,,"12,976736","-12,423095","11,418153","-12,736741","-2,382594","2,266273","-2,509643","3,841851"
"0,165","0,485053",0,0,"0,215887",0,0,,"12,976736","-12,673095","12,918153","-12,736741","-2,882594","3,266273","-3,509643","3,341851"
"0,166","0,485053",0,0,"-0,034113",0,0,,"12,226736","-11,923095","12,418153","-12,236741","-2,882594","2,766273","-2,509643","2,591851"
"0,167","-2,014947",0,0,"1,215887",0,0,,"11,726736","-12,173095","11,668153","-13,236741","-2,382594","3,266273","-3,259643","3,591851"
"0,168","0,985053",0,0,"0,965887",0,0,,"12,726736","-11,673095","11,668153","-11,736741","-2,382594","3,516273","-3,009643","2,841851"
"0,169","-0,514947",0,0,"0,465887",0,0,,"12,726736","-12,923095","12,168153","-12,486741","-2,632594","2,016273","-2,259643","3,341851"
"0,17","1,485053",0,0,"-0,034113",0,0,,"12,976736","-11,673095","12,168153","-11,986741","-3,132594","2,516273","-2,259643","2,841851"
"0,171","0,985053",0,0,"1,465887",0,0,,"12,476736","-11,673095","11,668153","-11,486741","-1,882594","2,766273","-2,509643","3,091851"
"0,172","-0,264947",0,0,"-1,034113",0,0,,"12,476736","-12,173095","11,918153","-12,486741","-3,132594","2,516273","-3,009643","2,591851"
"0,173","0,235053",0,0,"0,465887",0,0,,"12,726736","-12,673095","12,668153","-12,486741","-2,132594","2,266273","-2,509643","2,841851"
"0,174","0,485053",0,0,"-0,034113",0,0,,"12,476736","-11,923095","12,168153","-12,236741","-2,382594","2,766273","-3,009643","2,591851"
"0,175","-0,514947",0,0,"0,465887",0,0,,"12,726736","-13,423095","11,918153","-11,736741","-1,882594","2,766273","-3,259643","2,841851"
"0,176","-0,764947",0,0,"0,715887",0,0,,"12,976736","-11,923095","11,418153","-13,236741","-2,382594","3,016273","-2,509643","2,591851"
"0,177","0,985053",0,0,"1,215887",0,0,,"12,226736","-11,423095","12,668153","-12,486741","-2,882594","3,266273","-2,509643","3,341851"
"0,178","0,235053",0,0,"-1,284113",0,0,,"11,476736","-10,923095","12,168153","-12,486741","-2,632594","2,516273","-3,759643","2,591851"
"0,179","-0,014947",0,0,"0,465887",0,0,,"13,476736","-12,923095","12,168153","-12,736741","-2,132594","2,016273","-3,009643","3,591851"
"0,18","0,235053",0,0,"-1,284113",0,0,,"12,976736","-12,173095","11,668153","-12,236741","-3,382594","2,266273","-2,759643","2,591851"
"0,181","0,735053",0,0,"-0,034113",0,0,,"12,226736","-11,673095","12,418153","-12,236741","-2,382594","2,266273","-2,509643","2,591851"
