ForceDecks Raw Data Export,2.0
Weight,"89,4"
Frequency,1000
Recording Date,2024-10-08T11:21:52
Recording Info,ForceDecks;2.0.8587
Data Source,"ForceDecks;FD42-240723-FW2R7-HW1R2,0013,FD42-FW2R7-HW1R2,0011"
Analysis Date,2024-10-08T11:21:58
AthleteId,dac72f1f-f7ba-437f-959a-b9129c16eb9c

Time,Z Left,COPX Left,COPY Left,Z Right,COPX Right,COPY Right,,Fz1 Left,Fz2 Left,Fz3 Left,Fz4 Left,Fz1 Right,Fz2 Right,Fz3 Right,Fz4 Right
"0,04","1,042807",0,0,"-1,503656",0,0,,"13,808491","-13,569575","14,395991","-13,592099","-7,782901","7,578774","-9,267571","7,968042"
"0,041","0,542807",0,0,"0,496344",0,0,,"13,308491","-13,319575","13,645991","-13,092099","-8,282901","8,828774","-8,517571","8,468042"
"0,042","0,292807",0,0,"-0,753656",0,0,,"13,808491","-13,569575","13,645991","-13,592099","-8,032901","7,828774","-8,267571","7,718042"
"0,043","1,542807",0,0,"-0,253656",0,0,,"14,308491","-13,569575","14,895991","-14,092099","-7,532901","8,078774","-8,517571","7,718042"
"0,044","0,292807",0,0,"0,746344",0,0,,"13,308491","-12,819575","14,395991","-14,592099","-7,532901","7,828774","-8,017571","8,468042"
"0,045","1,292807",0,0,"2,246344",0,0,,"14,308491","-13,319575","14,395991","-14,092099","-7,532901","9,078774","-8,267571","8,968042"
"0,046","2,292807",0,0,"2,246344",0,0,,"15,058491","-12,569575","13,645991","-13,842099","-7,532901","8,828774","-7,517571","8,468042"
"0,047","1,542807",0,0,"0,496344",0,0,,"13,808491","-13,069575","14,145991","-13,342099","-8,032901","8,828774","-8,517571","8,218042"
"0,048","-0,707193",0,0,"0,746344",0,0,,"14,308491","-13,819575","13,145991","-14,342099","-8,282901","7,828774","-7,767571","8,968042"
"0,049","0,792807",0,0,"0,246344",0,0,,"14,808491","-13,069575","13,895991","-14,842099","-8,532901","9,328774","-8,267571","7,718042"
"0,05","1,292807",0,0,"0,996344",0,0,,"13,808491","-13,569575","14,395991","-13,342099","-8,032901","9,078774","-8,267571","8,218042"
"0,051","-1,207193",0,0,"1,496344",0,0,,"13,058491","-13,319575","13,395991","-14,342099","-7,782901","9,078774","-8,017571","8,218042"
"0,052","1,542807",0,0,"0,496344",0,0,,"14,558491","-13,569575","14,145991","-13,592099","-8,532901","8,828774","-8,017571","8,218042"
"0,053","-0,207193",0,0,"-0,003656",0,0,,"13,808491","-13,569575","13,145991","-13,592099","-8,782901","7,578774","-7,767571","8,968042"
"0,054","-0,207193",0,0,"0,246344",0,0,,"13,558491","-13,569575","13,395991","-13,592099","-8,032901","8,328774","-8,017571","7,968042"
"0,055","1,042807",0,0,"-0,503656",0,0,,"14,058491","-13,069575","13,895991","-13,842099","-8,782901","8,578774","-8,767571","8,468042"
"0,056","-0,957193",0,0,"0,246344",0,0,,"13,058491","-13,319575","13,645991","-14,342099","-8,032901","8,078774","-8,017571","8,218042"
"0,057","-0,207193",0,0,"-0,753656",0,0,,"13,308491","-13,319575","13,395991","-13,592099","-8,032901","8,078774","-8,267571","7,468042"
"0,058","0,292807",0,0,"0,246344",0,0,,"13,058491","-13,569575","13,895991","-13,092099","-7,282901","8,078774","-8,017571","7,468042"
"0,059","-1,207193",0,0,"-0,503656",0,0,,"13,058491","-13,569575","13,645991","-14,342099","-7,782901","7,578774","-8,517571","8,218042"
"0,06","-1,957193",0,0,"-0,503656",0,0,,"13,558491","-13,819575","12,895991","-14,592099","-8,532901","7,328774","-7,267571","7,968042"
"0,061","-0,457193",0,0,"2,496344",0,0,,"13,558491","-13,319575","12,895991","-13,592099","-7,282901","9,328774","-8,017571","8,468042"
"0,062","-0,957193",0,0,"0,996344",0,0,,"14,058491","-13,569575","12,895991","-14,342099","-7,532901","8,828774","-7,767571","7,468042"
"0,063","-0,707193",0,0,"3,246344",0,0,,"13,808491","-14,069575","13,895991","-14,342099","-6,532901","8,828774","-8,767571","9,718042"
"0,064","1,042807",0,0,"-1,253656",0,0,,"14,058491","-13,569575","13,645991","-13,092099","-8,282901","7,828774","-9,017571","8,218042"
"0,065","2,292807",0,0,"0,746344",0,0,,"14,308491","-12,569575","14,145991","-13,592099","-8,782901","8,578774","-8,017571","8,968042"
"0,066","0,792807",0,0,"2,496344",0,0,,"13,808491","-13,069575","13,645991","-13,592099","-7,032901","8,328774","-7,767571","8,968042"
"0,067","0,792807",0,0,"-0,753656",0,0,,"13,808491","-13,319575","13,895991","-13,592099","-7,532901","8,078774","-9,017571","7,718042"
"0,068","-2,457193",0,0,"-0,753656",0,0,,"12,308491","-13,569575","12,645991","-13,842099","-9,032901","8,078774","-7,767571","7,968042"
"0,069","0,042807",0,0,"0,996344",0,0,,"14,058491","-12,319575","13,395991","-15,092099","-7,532901","8,078774","-7,767571","8,218042"
"0,07","-0,457193",0,0,"-1,003656",0,0,,"13,808491","-14,069575","13,645991","-13,842099","-8,282901","8,578774","-8,767571","7,468042"
"0,071","0,792807",0,0,"-0,003656",0,0,,"13,308491","-13,319575","13,895991","-13,092099","-8,282901","8,328774","-8,267571","8,218042"
"0,072","0,792807",0,0,"0,746344",0,0,,"13,808491","-13,069575","13,645991","-13,592099","-7,782901","9,078774","-8,267571","7,718042"
